id,name,nation,role,salary_rank,comma_less_salary,team,season,salary
1,Abhinav Mukund,India,Batsman,399,800000,CSK,2008,"8,00,000"
2,Albie Morkel,South Africa,All-Rounder,95,27108000,CSK,2008,"2,71,08,000"
3,Arun Karthik,India,Wicketkeeper Batsman,402,800000,CSK,2008,"8,00,000"
4,Chamara Kapugedera,Sri Lanka,Batsman,502,4016000,CSK,2008,"40,16,000"
5,Jacob Oram,New Zealand,All-Rounder,159,27108000,CSK,2008,"2,71,08,000"
6,Joginder Sharma,India,Bowler,257,9000000,CSK,2008,"90,00,000"
7,Lakshmipathy Balaji,India,Bowler,169,1200000,CSK,2008,"12,00,000"
8,Makhaya Ntini,South Africa,Bowler,274,8032000,CSK,2008,"80,32,000"
9,Manpreet Gony,India,Bowler,236,1200000,CSK,2008,"12,00,000"
10,Matthew Hayden,Australia,Batsman,209,15060000,CSK,2008,"1,50,60,000"
11,Michael Hussey,Australia,Batsman,121,10040000,CSK,2008,"1,00,40,000"
12,MS Dhoni,India,Wicketkeeper Batsman,1,60000000,CSK,2008,"6,00,00,000"
13,Muttiah Muralitharan,Sri Lanka,Bowler,119,24000000,CSK,2008,"2,40,00,000"
14,Napoleon Einstein,India,Batsman,779,400000,CSK,2008,"4,00,000"
15,Palani Amarnath,India,Bowler,739,400000,CSK,2008,"4,00,000"
16,Parthiv Patel,India,Wicketkeeper Batsman,88,13000000,CSK,2008,"1,30,00,000"
17,Ravichandran Ashwin,India,All-Rounder,15,1200000,CSK,2008,"12,00,000"
18,S Badrinath,India,Batsman,153,1200000,CSK,2008,"12,00,000"
19,Shadab Jakati,India,Bowler,251,400000,CSK,2008,"4,00,000"
20,Srikkanth Anirudha ,India,Batsman,356,1200000,CSK,2008,"12,00,000"
21,Stephen Fleming,New Zealand,Batsman,345,14056000,CSK,2008,"1,40,56,000"
22,Sudeep Tyagi,India,Bowler,273,400000,CSK,2008,"4,00,000"
23,Suresh Kumar,India,All-Rounder,780,400000,CSK,2008,"4,00,000"
24,Suresh Raina,India,Batsman,4,26000000,CSK,2008,"2,60,00,000"
25,Vidyut Sivaramakrishnan,India,All-Rounder,576,1200000,CSK,2008,"12,00,000"
26,Viraj Kadbe,India,Bowler,740,400000,CSK,2008,"4,00,000"
27,AB de Villiers,South Africa,Wicketkeeper Batsman,5,12048000,DC,2008,"1,20,48,000"
28,Amit Mishra,India,Bowler,46,1200000,DC,2008,"12,00,000"
29,Brett Geeves,Australia,Bowler,592,2008000,DC,2008,"20,08,000"
30,Daniel Vettori,New Zealand,All-Rounder,129,25100000,DC,2008,"2,51,00,000"
31,Dinesh Karthik,India,Wicketkeeper Batsman,12,21000000,DC,2008,"2,10,00,000"
32,Farveez Maharoof,Sri Lanka,All-Rounder,261,9036000,DC,2008,"90,36,000"
33,Gautam Gambhir,India,Batsman,7,29000000,DC,2008,"2,90,00,000"
34,Glenn McGrath,Australia,Bowler,258,14056000,DC,2008,"1,40,56,000"
35,Manoj Tiwary,India,Batsman,89,27000000,DC,2008,"2,70,00,000"
36,Mayank Tehlan,India,All-Rounder,743,800000,DC,2008,"8,00,000"
37,Mithun Manhas,India,All-Rounder,311,1200000,DC,2008,"12,00,000"
38,Mohammad Asif,Pakistan,Bowler,277,26104000,DC,2008,"2,61,04,000"
39,Pradeep Sangwan,India,Bowler,271,1200000,DC,2008,"12,00,000"
40,Rajat Bhatia,India,All-Rounder,200,1200000,DC,2008,"12,00,000"
41,Shikhar Dhawan,India,Batsman,13,1200000,DC,2008,"12,00,000"
42,Shoaib Malik,Pakistan,Batsman,300,20080000,DC,2008,"2,00,80,000"
43,Tejashwi Yadav,India,Batsman,530,800000,DC,2008,"8,00,000"
44,Tillakaratne Dilshan,Sri Lanka,All-Rounder,135,10040000,DC,2008,"1,00,40,000"
45,Virender Sehwag,India,Batsman,37,33350000,DC,2008,"3,33,50,000"
46,Yo Mahesh,India,All-Rounder,380,1200000,DC,2008,"12,00,000"
47,Yogesh Nagar,India,All-Rounder,419,800000,DC,2008,"8,00,000"
48,Aakash Chopra,India,Batsman,427,1200000,KKR,2008,"12,00,000"
49,Ajantha Mendis,Sri Lanka,Bowler,228,1204800,KKR,2008,"12,04,800"
50,Ajit Agarkar,India,Bowler,192,14000000,KKR,2008,"1,40,00,000"
51,Ashok Dinda,India,Bowler,167,1200000,KKR,2008,"12,00,000"
52,Brad Hodge,Australia,Batsman,166,1204800,KKR,2008,"12,04,800"
53,Brendon McCullum,New Zealand,Wicketkeeper Batsman,40,28112000,KKR,2008,"2,81,12,000"
54,Cheteshwar Pujara,India,Batsman,144,800000,KKR,2008,"8,00,000"
55,Chris Gayle,West Indies,All-Rounder,21,32128000,KKR,2008,"3,21,28,000"
56,David Hussey,Australia,All-Rounder,60,25100000,KKR,2008,"2,51,00,000"
57,Debabrata Das,India,Batsman,487,1200000,KKR,2008,"12,00,000"
58,Iqbal Abdulla,India,All-Rounder,291,1200000,KKR,2008,"12,00,000"
59,Ishant Sharma,India,Bowler,58,38000000,KKR,2008,"3,80,00,000"
60,Laxmi Shukla,India,All-Rounder,259,1200000,KKR,2008,"12,00,000"
61,Mohammad Hafeez,Pakistan,All-Rounder,504,4016000,KKR,2008,"40,16,000"
62,Murali Kartik,India,Bowler,162,17000000,KKR,2008,"1,70,00,000"
63,Ranadeb Bose,India,Bowler,679,1200000,KKR,2008,"12,00,000"
64,Ricky Ponting,Australia,Batsman,243,16064000,KKR,2008,"1,60,64,000"
65,Rohan Banerjee,India,Batsman,745,400000,KKR,2008,"4,00,000"
66,Salman Butt,Pakistan,Batsman,505,4016000,KKR,2008,"40,16,000"
67,Saurasish Lahiri,India,Bowler,680,1200000,KKR,2008,"12,00,000"
68,Shoaib Akhtar,Pakistan,Bowler,321,17068000,KKR,2008,"1,70,68,000"
69,Siddarth Kaul,India,Bowler,112,1200000,KKR,2008,"12,00,000"
70,Sourav Ganguly,India,Batsman,108,43700000,KKR,2008,"4,37,00,000"
71,Tatenda Taibu,Zimbabwe,Wicketkeeper Batsman,478,5020000,KKR,2008,"50,20,000"
72,Umar Gul,Pakistan,Bowler,453,6024000,KKR,2008,"60,24,000"
73,Wriddhiman Saha,India,Wicketkeeper Batsman,97,1200000,KKR,2008,"12,00,000"
74,Yashpal Singh,India,Batsman,494,800000,KKR,2008,"8,00,000"
75,Ajitesh Argal,India,Bowler,660,800000,KXIP,2008,"8,00,000"
76,Brett Lee,Australia,Bowler,100,36144000,KXIP,2008,"3,61,44,000"
77,Gagandeep Singh,India,Bowler,676,1200000,KXIP,2008,"12,00,000"
78,Irfan Pathan,India,All-Rounder,36,37000000,KXIP,2008,"3,70,00,000"
79,James Hopes,Australia,All-Rounder,202,12048000,KXIP,2008,"1,20,48,000"
80,Karan Goel,India,Batsman,529,1200000,KXIP,2008,"12,00,000"
81,Kumar Sangakkara,Sri Lanka,Wicketkeeper Batsman,93,28112000,KXIP,2008,"2,81,12,000"
82,Kyle Mills,New Zealand,Bowler,383,2008000,KXIP,2008,"20,08,000"
83,Luke Pomersbach,Australia,Batsman,282,2008000,KXIP,2008,"20,08,000"
84,Mahela Jayawardene,Sri Lanka,Batsman,70,19000000,KXIP,2008,"1,90,00,000"
85,Nitin Saini,India,Wicketkeeper Batsman,448,400000,KXIP,2008,"4,00,000"
86,Pankaj Dharmani,India,Wicketkeeper Batsman,675,1200000,KXIP,2008,"12,00,000"
87,Piyush Chawla,India,All-Rounder,24,16000000,KXIP,2008,"1,60,00,000"
88,Ramesh Powar,India,Bowler,245,6800000,KXIP,2008,"68,00,000"
89,Ramnaresh Sarwan,West Indies,Batsman,387,9036000,KXIP,2008,"90,36,000"
90,Rishi Dhawan,India,All-Rounder,164,800000,KXIP,2008,"8,00,000"
91,Sahil Kukreja,India,Batsman,661,800000,KXIP,2008,"8,00,000"
92,Shaun Marsh,Australia,Batsman,120,1204800,KXIP,2008,"12,04,800"
93,Simon Katich,Australia,Batsman,319,8032000,KXIP,2008,"80,32,000"
94,Sreesanth,India,Bowler,118,25000000,KXIP,2008,"2,50,00,000"
95,Sunny Sohal,India,Batsman,492,800000,KXIP,2008,"8,00,000"
96,Tanmay Srivastava,India,Batsman,449,1200000,KXIP,2008,"12,00,000"
97,Uday Kaul,India,Wicketkeeper Batsman,578,1200000,KXIP,2008,"12,00,000"
98,Vikram Singh,India,Bowler,580,1200000,KXIP,2008,"12,00,000"
99,Wilkin Mota,India,All-Rounder,579,1200000,KXIP,2008,"12,00,000"
100,Yuvraj Singh,India,Batsman,8,42550000,KXIP,2008,"4,25,50,000"
101,Abhishek Nayar,India,All-Rounder,140,1200000,MI,2008,"12,00,000"
102,Ajinkya Rahane,India,Batsman,23,1200000,MI,2008,"12,00,000"
103,Andre Nel,South Africa,Bowler,671,1204800,MI,2008,"12,04,800"
104,Ankeet Chavan,India,Batsman,434,800000,MI,2008,"8,00,000"
105,Ashish Nehra,India,Bowler,59,16000000,MI,2008,"1,60,00,000"
106,Ashwell Prince,South Africa,Batsman,429,7028000,MI,2008,"70,28,000"
107,Dhawal Kulkarni,India,Bowler,161,1200000,MI,2008,"12,00,000"
108,Dilhara Fernando,Sri Lanka,Bowler,283,6024000,MI,2008,"60,24,000"
109,Dominic Thornely,Australia,Batsman,672,1204800,MI,2008,"12,04,800"
110,Dwayne Bravo,West Indies,All-Rounder,33,6024000,MI,2008,"60,24,000"
111,Dwayne Smith,West Indies,All-Rounder,114,2008000,MI,2008,"20,08,000"
112,Gaurav Dhiman,India,All-Rounder,662,800000,MI,2008,"8,00,000"
113,Harbhajan Singh,India,Bowler,22,34000000,MI,2008,"3,40,00,000"
114,Lasith Malinga,Sri Lanka,Bowler,29,14056000,MI,2008,"1,40,56,000"
115,Loots Bosman,South Africa,Batsman,452,6024000,MI,2008,"60,24,000"
116,Luke Ronchi,New Zealand,Wicketkeeper Batsman,566,1204800,MI,2008,"12,04,800"
117,Manish Pandey,India,Batsman,26,600000,MI,2008,"6,00,000"
118,Musavir Khote,India,Batsman,677,1200000,MI,2008,"12,00,000"
119,Pinal Shah,India,Wicketkeeper Batsman,403,1200000,MI,2008,"12,00,000"
120,Rajesh Pawar,India,Bowler,678,1200000,MI,2008,"12,00,000"
121,Robin Uthappa,India,Batsman,9,32000000,MI,2008,"3,20,00,000"
122,Rohan Raje,India,Bowler,744,400000,MI,2008,"4,00,000"
123,Sachin Tendulkar,India,Batsman,42,44850000,MI,2008,"4,48,50,000"
124,Sanath Jayasuriya,Sri Lanka,All-Rounder,134,39156000,MI,2008,"3,91,56,000"
125,Saurabh Tiwary,India,Batsman,65,1200000,MI,2008,"12,00,000"
126,Shaun Pollock,South Africa,All-Rounder,293,22088000,MI,2008,"2,20,88,000"
127,Siddharth Chitnis,India,Batsman,493,800000,MI,2008,"8,00,000"
128,Swapnil Singh,India,Bowler,581,400000,MI,2008,"4,00,000"
129,Vikrant Yeligati,India,Bowler,762,600000,MI,2008,"6,00,000"
130,Yogesh Takawale,India,Wicketkeeper Batsman,455,2000000,MI,2008,"20,00,000"
131,Abdur Razzak,Bangladesh,Bowler,593,2008000,RCB,2008,"20,08,000"
132,Anil Kumble,India,Bowler,197,20000000,RCB,2008,"2,00,00,000"
133,Ashley Noffke,Australia,All-Rounder,673,1204800,RCB,2008,"12,04,800"
134,Balachandra Akhil,India,Bowler,445,1200000,RCB,2008,"12,00,000"
135,Bharat Chipli,India,Batsman,681,1200000,RCB,2008,"12,00,000"
136,Cameron White,Australia,Batsman,84,20080000,RCB,2008,"2,00,80,000"
137,Dale Steyn,South Africa,Bowler,32,13052000,RCB,2008,"1,30,52,000"
138,Devraj Patil,India,Wicketkeeper Batsman,584,1200000,RCB,2008,"12,00,000"
139,Jacques Kallis,South Africa,All-Rounder,53,36144000,RCB,2008,"3,61,44,000"
140,Jagadeesh Arunkumar,India,Batsman,582,1200000,RCB,2008,"12,00,000"
141,KP Appanna,India,Bowler,565,400000,RCB,2008,"4,00,000"
142,Mark Boucher,South Africa,Batsman,186,18072000,RCB,2008,"1,80,72,000"
143,Misbah-ul-Haq,Pakistan,Batsman,479,5020000,RCB,2008,"50,20,000"
144,Nathan Bracken,Australia,Bowler,266,13052000,RCB,2008,"1,30,52,000"
145,Neravanda Aiyappa,India,Bowler,782,400000,RCB,2008,"4,00,000"
146,Praveen Kumar,India,Bowler,79,12000000,RCB,2008,"1,20,00,000"
147,Rahul Dravid,India,Batsman,96,41400000,RCB,2008,"4,14,00,000"
148,Ross Taylor,New Zealand,Batsman,98,4016000,RCB,2008,"40,16,000"
149,Shivnarine Chanderpaul,West Indies,Batsman,407,8032000,RCB,2008,"80,32,000"
150,Shreevats Goswami,India,Wicketkeeper Batsman,212,1200000,RCB,2008,"12,00,000"
151,Sunil Joshi,India,All-Rounder,583,1200000,RCB,2008,"12,00,000"
152,Vinay Kumar,India,Bowler,78,1200000,RCB,2008,"12,00,000"
153,Virat Kohli,India,Batsman,3,1200000,RCB,2008,"12,00,000"
154,Wasim Jaffer,India,Batsman,357,6000000,RCB,2008,"60,00,000"
155,Zaheer Khan,India,Bowler,57,18000000,RCB,2008,"1,80,00,000"
156,Aditya Angle,India,Batsman,741,400000,RR,2008,"4,00,000"
157,Anup Revandkar,India,Bowler,742,400000,RR,2008,"4,00,000"
158,Darren Lehmann,Australia,Batsman,674,1200000,RR,2008,"12,00,000"
159,Dimitri Mascarenhas,England,All-Rounder,272,4016000,RR,2008,"40,16,000"
160,Dinesh Salunkhe,India,Bowler,535,1200000,RR,2008,"12,00,000"
161,Graeme Smith,South Africa,Batsman,154,19076000,RR,2008,"1,90,76,000"
162,Jaydev Shah,India,Batsman,355,1200000,RR,2008,"12,00,000"
163,Justin Langer,Australia,Batsman,318,8032000,RR,2008,"80,32,000"
164,Kamran Akmal,Pakistan,Wicketkeeper Batsman,454,6000000,RR,2008,"60,00,000"
165,Mahesh Rawat,India,Wicketkeeper Batsman,534,1200000,RR,2008,"12,00,000"
166,Mohammad Kaif,India,Batsman,185,27000000,RR,2008,"2,70,00,000"
167,Morne Morkel,South Africa,Bowler,111,2409600,RR,2008,"24,09,600"
168,Munaf Patel,India,Bowler,133,11000000,RR,2008,"1,10,00,000"
169,Niraj Patel,India,Batsman,577,1200000,RR,2008,"12,00,000"
170,Pankaj Singh,India,Batsman,315,1200000,RR,2008,"12,00,000"
171,Parag More,India,Batsman,659,800000,RR,2008,"8,00,000"
172,Ravindra Jadeja,India,All-Rounder,11,1200000,RR,2008,"12,00,000"
173,Shane Warne (c),Australia,Bowler,125,18072000,RR,2008,"1,80,72,000"
174,Shane Watson,Australia,All-Rounder,10,5020000,RR,2008,"50,20,000"
175,Siddharth Trivedi,India,Bowler,352,1200000,RR,2008,"12,00,000"
176,Sohail Tanvir,Pakistan,Bowler,503,4016000,RR,2008,"40,16,000"
177,Sumit Khatri,India,Bowler,781,400000,RR,2008,"4,00,000"
178,Swapnil Asnodkar,India,Batsman,444,1200000,RR,2008,"12,00,000"
179,Taruwar Kohli,India,Batsman,655,1200000,RR,2008,"12,00,000"
180,Younis Khan,Pakistan,Batsman,386,9036000,RR,2008,"90,36,000"
181,Yusuf Pathan,India,All-Rounder,27,19000000,RR,2008,"1,90,00,000"
182,Adam Gilchrist,Australia,Wicketkeeper Batsman,86,28112000,SRH,2008,"2,81,12,000"
183,Andrew Symonds,Australia,All-Rounder,87,54216000,SRH,2008,"5,42,16,000"
184,Arjun Yadav,India,Batsman,381,1200000,SRH,2008,"12,00,000"
185,Chamara Silva,Sri Lanka,Batsman,398,4016000,SRH,2008,"40,16,000"
186,Chaminda Vaas,Sri Lanka,All-Rounder,275,8032000,SRH,2008,"80,32,000"
187,Doddapaneni Kalyankrishna,India,Bowler,586,1200000,SRH,2008,"12,00,000"
188,Dwaraka Ravi Teja,India,Batsman,382,1200000,SRH,2008,"12,00,000"
189,Halhadar Das,India,Wicketkeeper Batsman,663,800000,SRH,2008,"8,00,000"
190,Herschelle Gibbs,South Africa,Batsman,177,23092000,SRH,2008,"2,30,92,000"
191,Nuwan Zoysa,Sri Lanka,Bowler,376,4417600,SRH,2008,"44,17,600"
192,Paidikalva Vijaykumar,India,Bowler,585,1200000,SRH,2008,"12,00,000"
193,PM Sarvesh Kumar,India,Bowler,664,800000,SRH,2008,"8,00,000"
194,Pragyan Ojha,India,Bowler,156,1200000,SRH,2008,"12,00,000"
195,Rohit Sharma,India,Batsman,2,30000000,SRH,2008,"3,00,00,000"
196,RP Singh,India,Bowler,102,35000000,SRH,2008,"3,50,00,000"
197,Sanjay Bangar,India,All-Rounder,682,1200000,SRH,2008,"12,00,000"
198,Scott Styris,New Zealand,All-Rounder,250,7028000,SRH,2008,"70,28,000"
199,Shahid Afridi,Pakistan,All-Rounder,276,27108000,SRH,2008,"2,71,08,000"
200,Venugopal Rao,India,Batsman,158,1200000,SRH,2008,"12,00,000"
201,VVS Laxman,India,Batsman,195,15000000,SRH,2008,"1,50,00,000"
202,Albie Morkel,South Africa,All-Rounder,95,33156000,CSK,2009,"3,31,56,000"
203,Andrew flintoff,England,All-Rounder,183,76136000,CSK,2009,"7,61,36,000"
204,Arun Karthik,India,Wicketkeeper Batsman,402,800000,CSK,2009,"8,00,000"
205,George Bailey,Australia,Batsman,179,2456000,CSK,2009,"24,56,000"
206,Jacob Oram,New Zealand,All-Rounder,159,33156000,CSK,2009,"3,31,56,000"
207,Joginder Sharma,India,Bowler,257,9000000,CSK,2009,"90,00,000"
208,Lakshmipathy Balaji,India,Bowler,169,1200000,CSK,2009,"12,00,000"
209,Makhaya Ntini,South Africa,Bowler,274,9824000,CSK,2009,"98,24,000"
210,Manpreet Gony,India,Bowler,236,1200000,CSK,2009,"12,00,000"
211,Matthew Hayden,Australia,Batsman,209,18420000,CSK,2009,"1,84,20,000"
212,MS Dhoni,India,Wicketkeeper Batsman,1,60000000,CSK,2009,"6,00,00,000"
213,Murali Vijay,India,Batsman,56,1200000,CSK,2009,"12,00,000"
214,Muttiah Muralitharan,Sri Lanka,Bowler,119,24000000,CSK,2009,"2,40,00,000"
215,Palani Amarnath,India,Bowler,739,400000,CSK,2009,"4,00,000"
216,Parthiv Patel,India,Wicketkeeper Batsman,88,13000000,CSK,2009,"1,30,00,000"
217,Ravichandran Ashwin,India,All-Rounder,15,1200000,CSK,2009,"12,00,000"
218,S Badrinath,India,Batsman,153,1200000,CSK,2009,"12,00,000"
219,Shadab Jakati,India,Bowler,251,400000,CSK,2009,"4,00,000"
220,Sudeep Tyagi,India,Bowler,273,400000,CSK,2009,"4,00,000"
221,Suresh Raina,India,Batsman,4,26000000,CSK,2009,"2,60,00,000"
222,Thilan Thushara,Sri Lanka,Bowler,349,6876800,CSK,2009,"68,76,800"
223,Vidyut Sivaramakrishnan,India,All-Rounder,576,1200000,CSK,2009,"12,00,000"
224,Viraj Kadbe,India,Bowler,740,400000,CSK,2009,"4,00,000"
225,Aavishkar Salvi,India,Bowler,320,11000000,DC,2009,"1,10,00,000"
226,AB de Villiers,South Africa,Wicketkeeper Batsman,5,14736000,DC,2009,"1,47,36,000"
227,Amit Mishra,India,Bowler,46,1200000,DC,2009,"12,00,000"
228,Andrew McDonald,Australia,All-Rounder,343,1473600,DC,2009,"14,73,600"
229,Ashish Nehra,India,Bowler,59,16000000,DC,2009,"1,60,00,000"
230,Daniel Vettori,New Zealand,All-Rounder,129,30700000,DC,2009,"3,07,00,000"
231,David Warner,Australia,Batsman,16,1473600,DC,2009,"14,73,600"
232,Dinesh Karthik,India,Wicketkeeper Batsman,12,21000000,DC,2009,"2,10,00,000"
233,Dirk Nannes,Australia,Bowler,165,1473600,DC,2009,"14,73,600"
234,Farveez Maharoof,Sri Lanka,All-Rounder,261,11052000,DC,2009,"1,10,52,000"
235,Gautam Gambhir,India,Batsman,7,29000000,DC,2009,"2,90,00,000"
236,Glenn McGrath,Australia,Bowler,258,17192000,DC,2009,"1,71,92,000"
237,Manoj Tiwary,India,Batsman,89,27000000,DC,2009,"2,70,00,000"
238,Mithun Manhas,India,All-Rounder,311,1200000,DC,2009,"12,00,000"
239,Owais Shah,England,Batsman,290,1473600,DC,2009,"14,73,600"
240,Paul Collingwood,England,All-Rounder,210,13508000,DC,2009,"1,35,08,000"
241,Pradeep Sangwan,India,Bowler,271,1200000,DC,2009,"12,00,000"
242,Rajat Bhatia,India,All-Rounder,200,1200000,DC,2009,"12,00,000"
243,Tejashwi Yadav,India,Batsman,530,800000,DC,2009,"8,00,000"
244,Tillakaratne Dilshan,Sri Lanka,All-Rounder,135,12280000,DC,2009,"1,22,80,000"
245,Umesh Yadav,India,Bowler,50,1200000,DC,2009,"12,00,000"
246,Virender Sehwag,India,Batsman,37,33350000,DC,2009,"3,33,50,000"
247,Yo Mahesh,India,All-Rounder,380,1200000,DC,2009,"12,00,000"
248,Yogesh Nagar,India,All-Rounder,419,800000,DC,2009,"8,00,000"
249,Aakash Chopra,India,Batsman,427,1200000,KKR,2009,"12,00,000"
250,Ajantha Mendis,Sri Lanka,Bowler,228,1473600,KKR,2009,"14,73,600"
251,Ajit Agarkar,India,Bowler,192,14000000,KKR,2009,"1,40,00,000"
252,Angelo Mathews,Sri Lanka,All-Rounder,80,1473600,KKR,2009,"14,73,600"
253,Anureet Singh,India,Bowler,360,800000,KKR,2009,"8,00,000"
254,Arindam Ghosh,India,Batsman,748,800000,KKR,2009,"8,00,000"
255,Ashok Dinda,India,Bowler,167,1200000,KKR,2009,"12,00,000"
256,Brad Hodge,Australia,Batsman,166,1473600,KKR,2009,"14,73,600"
257,Brendon McCullum,New Zealand,Wicketkeeper Batsman,40,34384000,KKR,2009,"3,43,84,000"
258,Charl Langeveldt,South Africa,Bowler,327,1473600,KKR,2009,"14,73,600"
259,Chris Gayle,West Indies,All-Rounder,21,39296000,KKR,2009,"3,92,96,000"
260,David Hussey,Australia,All-Rounder,60,30700000,KKR,2009,"3,07,00,000"
261,Ishant Sharma,India,Bowler,58,38000000,KKR,2009,"3,80,00,000"
262,Laxmi Shukla,India,All-Rounder,259,1200000,KKR,2009,"12,00,000"
263,Mashrafe Mortaza,Bangladesh,Bowler,264,29472000,KKR,2009,"2,94,72,000"
264,Moises Henriques,Australia,All-Rounder,117,22104000,KKR,2009,"2,21,04,000"
265,Morne Van Wyk,South Africa,Wicketkeeper Batsman,668,1473600,KKR,2009,"14,73,600"
266,Murali Kartik,India,Bowler,162,17000000,KKR,2009,"1,70,00,000"
267,Rohan Banerjee,India,Batsman,745,400000,KKR,2009,"4,00,000"
268,Sanjay Bangar,India,All-Rounder,999,1200000,KKR,2009,
269,Shoaib Shaikh,India,Batsman,749,800000,KKR,2009,"8,00,000"
270,Sourav Ganguly,India,Batsman,108,43700000,KKR,2009,"4,37,00,000"
271,Sourav Sarkar,India,Bowler,999,800000,KKR,2009,
272,Wriddhiman Saha,India,Wicketkeeper Batsman,97,1200000,KKR,2009,"12,00,000"
273,Yashpal Singh,India,Batsman,494,800000,KKR,2009,"8,00,000"
274,Ajitesh Argal,India,Bowler,660,800000,KXIP,2009,"8,00,000"
275,Amanpreet Singh,India,Bowler,683,600000,KXIP,2009,"6,00,000"
276,Brett Lee,Australia,Bowler,100,44208000,KXIP,2009,"4,42,08,000"
277,Burt Cockley,Australia,Bowler,670,1228000,KXIP,2009,"12,28,000"
278,Irfan Pathan,India,All-Rounder,36,37000000,KXIP,2009,"3,70,00,000"
279,James Hopes,Australia,All-Rounder,202,14736000,KXIP,2009,"1,47,36,000"
280,Jerome Taylor,West Indies,Bowler,326,7368000,KXIP,2009,"73,68,000"
281,Karan Goel,India,Batsman,529,1200000,KXIP,2009,"12,00,000"
282,Kumar Sangakkara,Sri Lanka,Wicketkeeper Batsman,93,34384000,KXIP,2009,"3,43,84,000"
283,Luke Pomersbach,Australia,Batsman,282,2456000,KXIP,2009,"24,56,000"
284,Mahela Jayawardene,Sri Lanka,Batsman,70,19000000,KXIP,2009,"1,90,00,000"
285,Piyush Chawla,India,All-Rounder,24,16000000,KXIP,2009,"1,60,00,000"
286,Ramesh Powar,India,Bowler,245,6800000,KXIP,2009,"68,00,000"
287,Ranadeb Bose,India,Bowler,733,982400,KXIP,2009,"9,82,400"
288,Ravi Bopara,England,Batsman,206,22104000,KXIP,2009,"2,21,04,000"
289,Ravikant Shukla,India,Batsman,746,800000,KXIP,2009,"8,00,000"
290,Ryan Ninan,India,All-Rounder,495,600000,KXIP,2009,"6,00,000"
291,Sahil Kukreja,India,Batsman,661,800000,KXIP,2009,"8,00,000"
292,Shaun Marsh,Australia,Batsman,120,1473600,KXIP,2009,"14,73,600"
293,Simon Katich,Australia,Batsman,319,9824000,KXIP,2009,"98,24,000"
294,Sreesanth,India,Bowler,118,25000000,KXIP,2009,"2,50,00,000"
295,Sunny Sohal,India,Batsman,492,800000,KXIP,2009,"8,00,000"
296,Tanmay Srivastava,India,Batsman,449,1200000,KXIP,2009,"12,00,000"
297,Taruwar Kohli,India,Batsman,655,600000,KXIP,2009,"6,00,000"
298,Uday Kaul,India,Wicketkeeper Batsman,578,1200000,KXIP,2009,"12,00,000"
299,Vikram Singh,India,Bowler,580,1200000,KXIP,2009,"12,00,000"
300,Vikramjeet Malik,India,Bowler,344,800000,KXIP,2009,"8,00,000"
301,Wilkin Mota,India,All-Rounder,579,1200000,KXIP,2009,"12,00,000"
302,Yusuf Abdulla,South Africa,Bowler,489,2456000,KXIP,2009,"24,56,000"
303,Yuvraj Singh,India,Batsman,8,42550000,KXIP,2009,"4,25,50,000"
304,Abhishek Nayar,India,All-Rounder,140,1200000,MI,2009,"12,00,000"
305,Ajinkya Rahane,India,Batsman,23,1200000,MI,2009,"12,00,000"
306,Chetanya Nanda,India,Bowler,684,1200000,MI,2009,"12,00,000"
307,Dhawal Kulkarni,India,Bowler,161,1200000,MI,2009,"12,00,000"
308,Dilhara Fernando,Sri Lanka,Bowler,283,7368000,MI,2009,"73,68,000"
309,Dwayne Bravo,West Indies,All-Rounder,33,7368000,MI,2009,"73,68,000"
310,Graham Napier,England,All-Rounder,564,1473600,MI,2009,"14,73,600"
311,Harbhajan Singh,India,Bowler,22,34000000,MI,2009,"3,40,00,000"
312,Jaydev Shah,India,Batsman,355,1200000,MI,2009,"12,00,000"
313,Jean-Paul Duminy,South Africa,All-Rounder,82,46664000,MI,2009,"4,66,64,000"
314,Kyle Mills,New Zealand,Bowler,383,7368000,MI,2009,"73,68,000"
315,Lasith Malinga,Sri Lanka,Bowler,29,17192000,MI,2009,"1,71,92,000"
316,Luke Ronchi,New Zealand,Wicketkeeper Batsman,566,1473600,MI,2009,"14,73,600"
317,Mohammad Ashraful,Bangladesh,Batsman,528,3684000,MI,2009,"36,84,000"
318,Pinal Shah,India,Wicketkeeper Batsman,403,1200000,MI,2009,"12,00,000"
319,Rahil Shaikh,India,Bowler,747,800000,MI,2009,"8,00,000"
320,Rohan Raje,India,Bowler,744,400000,MI,2009,"4,00,000"
321,Ryan Mclaren,South Africa,All-Rounder,323,1473600,MI,2009,"14,73,600"
322,Sachin Tendulkar,India,Batsman,42,44850000,MI,2009,"4,48,50,000"
323,Sanath Jayasuriya,Sri Lanka,All-Rounder,134,47892000,MI,2009,"4,78,92,000"
324,Saurabh Tiwary,India,Batsman,65,1200000,MI,2009,"12,00,000"
325,Shikhar Dhawan,India,Batsman,13,1200000,MI,2009,"12,00,000"
326,Yogesh Takawale,India,Wicketkeeper Batsman,455,2000000,MI,2009,"20,00,000"
327,Zaheer Khan,India,Bowler,57,18000000,MI,2009,"1,80,00,000"
328,Abhimanyu Mithun,India,Bowler,220,800000,RCB,2009,"8,00,000"
329,Anil Kumble,India,Bowler,197,20000000,RCB,2009,"2,00,00,000"
330,Balachandra Akhil,India,Bowler,445,1200000,RCB,2009,"12,00,000"
