id,name,nation,role,salary_rank,comma_less_salary,team,season,salary
2687,Anrich Nortje,South Africa,Bowler,309,8982000,DC,2020,"89,82,000"
2688,Avesh khan,India,Bowler,267,7000000,DC,2020,"70,00,000"
2689,Axar Patel,India,All-Rounder,75,50000000,DC,2020,"5,00,00,000"
2690,Chris Woakes,England,Bowler,123,15000000,DC,2020,"1,50,00,000"
2691,Daniel Sams,Australia,Bowler,470,3000000,DC,2020,"30,00,000"
2692,Harshal Patel,India,Bowler,281,2000000,DC,2020,"20,00,000"
2693,Ishant Sharma,India,Bowler,58,11000000,DC,2020,"1,10,00,000"
2694,Jason Roy,England,Batsman,231,15000000,DC,2020,"1,50,00,000"
2695,Kagiso Rabada,South Africa,Bowler,104,42000000,DC,2020,"4,20,00,000"
2696,Keemo Paul,West Indies,All-Rounder,372,5000000,DC,2020,"50,00,000"
2697,Lalit Yadav,India,All-Rounder,519,2000000,DC,2020,"20,00,000"
2698,Marcus Stoinis,Australia,Batsman,83,48000000,DC,2020,"4,80,00,000"
2699,Mohit Sharma,India,Bowler,73,5000000,DC,2020,"50,00,000"
2700,Praveen Dubey,India,Bowler,526,2000000,DC,2020,"20,00,000"
2701,Prithvi Shaw,India,Batsman,215,12000000,DC,2020,"1,20,00,000"
2702,Ravichandran Ashwin,India,All-Rounder,15,76000000,DC,2020,"7,60,00,000"
2703,Rishabh Pant,India,Wicketkeeper Batsman,35,80000000,DC,2020,"8,00,00,000"
2704,Sandeep Lamichhane,Nepal,Bowler,463,2000000,DC,2020,"20,00,000"
2705,Shikhar Dhawan,India,Batsman,13,52000000,DC,2020,"5,20,00,000"
2706,Shimron Hetmyer,West Indies,Batsman,94,77500000,DC,2020,"7,75,00,000"
2707,Shreyas Iyer,India,Batsman,45,70000000,DC,2020,"7,00,00,000"
2708,Tushar Deshpande,India,Bowler,631,2000000,DC,2020,"20,00,000"
2709,Ali Khan,England,Bowler,788,0,KKR,2020,0
2710,Andre Russell,West Indies,All-Rounder,38,85000000,KKR,2020,"8,50,00,000"
2711,Chris Green,Australia,All-Rounder,632,2000000,KKR,2020,"20,00,000"
2712,Dinesh Karthik,India,Wicketkeeper Batsman,12,74000000,KKR,2020,"7,40,00,000"
2713,Eoin Morgan,England,Batsman,90,52500000,KKR,2020,"5,25,00,000"
2714,Harry Gurney,England,Bowler,335,7500000,KKR,2020,"75,00,000"
2715,Kamlesh Nagarkoti,India,Bowler,141,32000000,KKR,2020,"3,20,00,000"
2716,Kuldeep Yadav,India,Bowler,74,58000000,KKR,2020,"5,80,00,000"
2717,Lockie Ferguson,New Zealand,Bowler,205,16000000,KKR,2020,"1,60,00,000"
2718,Manimaran Siddharth,India,Bowler,521,2000000,KKR,2020,"20,00,000"
2719,Nikhil Naik,India,Wicketkeeper Batsman,350,2000000,KKR,2020,"20,00,000"
2720,Nitish Rana,India,Batsman,128,34000000,KKR,2020,"3,40,00,000"
2721,Pat Cummins,Australia,Bowler,43,155000000,KKR,2020,"15,50,00,000"
2722,Prasidh Krishna,India,Bowler,413,2000000,KKR,2020,"20,00,000"
2723,Pravin Tambe,India,Bowler,409,2000000,KKR,2020,"20,00,000"
2724,Rahul Tripathi,India,Batsman,175,6000000,KKR,2020,"60,00,000"
2725,Rinku Singh,India,Batsman,255,8000000,KKR,2020,"80,00,000"
2726,Sandeep Warrier,India,Bowler,394,2000000,KKR,2020,"20,00,000"
2727,Shivam Mavi,India,All-Rounder,151,30000000,KKR,2020,"3,00,00,000"
2728,Shubman Gill,India,Batsman,190,18000000,KKR,2020,"1,80,00,000"
2729,Siddhesh Lad,India,Batsman,395,2000000,KKR,2020,"20,00,000"
2730,Sunil Narine,West Indies,Bowler,6,125000000,KKR,2020,"12,50,00,000"
2731,Tim Seifert,New Zealand,Wicketkeeper Batsman,375,5000000,KKR,2020,"50,00,000"
2732,Tom Banton,England,Batsman,374,10000000,KKR,2020,"1,00,00,000"
2733,Varun Chakravarthy,India,Bowler,110,40000000,KKR,2020,"4,00,00,000"
2734,Arshdeep Singh,India,Bowler,467,2000000,KXIP,2020,"20,00,000"
2735,Chris Gayle,West Indies,All-Rounder,21,20000000,KXIP,2020,"2,00,00,000"
2736,Chris Jordan,England,Bowler,171,30000000,KXIP,2020,"3,00,00,000"
2737,Darshan Nalkande,India,Bowler,397,3000000,KXIP,2020,"30,00,000"
2738,Deepak Hooda,India,All-Rounder,105,5000000,KXIP,2020,"50,00,000"
2739,Glenn Maxwell,Australia,All-Rounder,18,107500000,KXIP,2020,"10,75,00,000"
2740,Hardus Viljoen,South Africa,All-Rounder,334,7500000,KXIP,2020,"75,00,000"
2741,Harpreet Brar,India,All-Rounder,468,2000000,KXIP,2020,"20,00,000"
2742,Ishan Porel,India,Bowler,520,2000000,KXIP,2020,"20,00,000"
2743,Jagadeesha Suchith,India,Bowler,367,2000000,KXIP,2020,"20,00,000"
2744,James Neesham,New Zealand,All-Rounder,301,5000000,KXIP,2020,"50,00,000"
2745,Karun Nair,India,Batsman,64,56000000,KXIP,2020,"5,60,00,000"
2746,KL Rahul,India,Batsman,30,110000000,KXIP,2020,"11,00,00,000"
2747,Krishnappa Gowtham,India,All-Rounder,61,62000000,KXIP,2020,"6,20,00,000"
2748,Mandeep Singh,India,All-Rounder,168,14000000,KXIP,2020,"1,40,00,000"
2749,Mayank Agarwal,India,Batsman,157,10000000,KXIP,2020,"1,00,00,000"
2750,Mohammed Shami,India,Bowler,48,48000000,KXIP,2020,"4,80,00,000"
2751,Mujeeb Ur Rahman,Afghanistan,Bowler,150,40000000,KXIP,2020,"4,00,00,000"
2752,Murugan Ashwin,India,Bowler,173,2000000,KXIP,2020,"20,00,000"
2753,Nicholas Pooran,West Indies,Wicketkeeper Batsman,138,42000000,KXIP,2020,"4,20,00,000"
2754,Prabhsimran Singh,India,Wicketkeeper Batsman,199,5500000,KXIP,2020,"55,00,000"
2755,Ravi Bishnoi,India,Bowler,235,20000000,KXIP,2020,"2,00,00,000"
2756,Sarfaraz Khan,India,Batsman,207,2500000,KXIP,2020,"25,00,000"
2757,Sheldon Cottrell,West Indies,Bowler,172,85000000,KXIP,2020,"8,50,00,000"
2758,Tajinder Singh,India,Batsman,426,2000000,KXIP,2020,"20,00,000"
2759,Aditya Tare,India,Wicketkeeper Batsman,201,2000000,MI,2020,"20,00,000"
2760,Anmolpreet Singh,India,Batsman,288,8000000,MI,2020,"80,00,000"
2761,Anukul Roy,India,All-Rounder,412,2000000,MI,2020,"20,00,000"
2762,Chris Lynn,Australia,Batsman,63,20000000,MI,2020,"2,00,00,000"
2763,Dhawal Kulkarni,India,Bowler,161,7500000,MI,2020,"75,00,000"
2764,Digvijay Deshmukh,India,All-Rounder,633,2000000,MI,2020,"20,00,000"
2765,Hardik Pandya,India,All-Rounder,34,110000000,MI,2020,"11,00,00,000"
2766,Ishan Kishan,India,Batsman,69,62000000,MI,2020,"6,20,00,000"
2767,James Pattinson,Australia,Bowler,262,15000000,MI,2020,"1,50,00,000"
2768,Jasprit Bumrah,India,All-Rounder,55,70000000,MI,2020,"7,00,00,000"
2769,Jayant Yadav,India,Bowler,287,5000000,MI,2020,"50,00,000"
2770,Kieron Pollard,West Indies,All-Rounder,14,54000000,MI,2020,"5,40,00,000"
2771,Krunal Pandya,India,All-Rounder,41,88000000,MI,2020,"8,80,00,000"
2772,Lasith Malinga,Sri Lanka,Bowler,29,20000000,MI,2020,"2,00,00,000"
2773,Mitchell McClenaghan,New Zealand,Bowler,237,10000000,MI,2020,"1,00,00,000"
2774,Mohsin Khan,India,Bowler,464,2000000,MI,2020,"20,00,000"
2775,Nathan Coulter-Nile,Australia,Bowler,54,80000000,MI,2020,"8,00,00,000"
2776,Prince Balwant Rai,India,All-Rounder,634,2000000,MI,2020,"20,00,000"
2777,Quinton de Kock,South Africa,Wicketkeeper Batsman,71,28000000,MI,2020,"2,80,00,000"
2778,Rahul Chahar,India,Bowler,181,19000000,MI,2020,"1,90,00,000"
2779,Rohit Sharma,India,Batsman,2,150000000,MI,2020,"15,00,00,000"
2780,Saurabh Tiwary,India,Batsman,65,5000000,MI,2020,"50,00,000"
